UniProt_IDs,DrLLPS_labels,UDSM-LLPS (Random) Score,UDSM-LLPS (UniRef) Score,PSPredictor Score
Q01130,scaffold,0.99999917,0.9999999,0.9881
O75683,scaffold,0.9134375,0.9469278,0.3519
P17600,scaffold,0.97874844,0.9894258,0.967
Q92777,scaffold,0.98534805,0.911096,0.9877
Q96PV0,scaffold,0.9871818,0.9756619,0.9369
Q92804,scaffold,0.9997764,0.99984074,0.9952
Q13148,scaffold,0.98203295,0.9998555,0.9845
P31483,scaffold,0.9936772,0.9986966,0.9892
Q01085,scaffold,0.9986689,0.9945927,0.9739
Q9UPQ9,scaffold,0.990373,0.9930061,0.9889
P04637,scaffold,0.24966484,0.21061449,0.4211
Q71U36,scaffold,0.7677432,0.019905197,0.0104
Q9UHD9,scaffold,0.50822073,0.03024001,0.9923
O00401,scaffold,0.23100331,0.9381494,0.9884
O14980,scaffold,0.40124145,0.077307746,0.0355
O43670,scaffold,0.99386144,0.9932406,0.9679
A0A0G2JMS6,client,0.0045747506,0.0051417206,0.3612
,client,0.02058236,0.08523114,0.0156
,client,0.35706082,0.25740924,0.009
V9GYY5,client,0.51274633,0.97819203,0.6216
A0A087X0T9,client,0.5403894,0.35753632,0.0081
,client,0.76190114,0.99882585,0.0609
A0A3B3ITZ1,client,0.94042,0.96536356,0.9946
,client,0.76407427,0.5129492,0.3564
,client,0.81946,0.8101484,0.5615
,client,0.108638786,0.033652656,0.0221
,client,0.9428511,0.06708165,0.1115
A0A2R8YDH4,client,0.9765143,0.92807436,0.7351
,client,0.6226691,0.039462924,0.3763
,client,0.006303388,0.044692352,0.6253
,client,0.049590956,0.71717584,0.0278
,client,0.8127906,0.27828956,0.9638
,client,0.43569916,0.12351203,0.0325
Q9Y649,client,0.3946487,0.3042833,0.0934
,client,0.8092965,0.60036755,0.8154
A0A0B4J269,client,0.23304285,0.28038877,0.1021
,client,0.22608814,0.16830008,0.4302
,client,0.9985275,0.9462269,0.0037
P01023,client,0.010521065,0.08733107,0.5354
Q2M2I8,client,0.8922945,0.7143551,0.9983
Q5JTZ9,client,0.22635832,0.028056774,0.0463
Q9NRN7,client,0.048950166,0.052841865,0.0109
Q9NY61,client,0.94333166,0.6421364,0.2619
Q9NUT2,client,0.21026419,0.17467368,0.0104
P28288,client,0.65159595,0.39471945,0.0335
Q8NE71,client,0.91863304,0.8317135,0.7085
Q9NUQ8,client,0.98024637,0.30300102,0.2421
O95870,client,0.1382875,0.016715994,0.0148
Q8IZP0,client,0.9884476,0.9390392,0.939
Q9NYB9,client,0.81159556,0.9861508,0.9541
O14639,client,0.96510094,0.9655903,0.6602
Q6H8Q1,client,0.97851735,0.9812593,0.9672
O94929,client,0.9926582,0.96546036,0.9308
Q12979,client,0.06926232,0.0642467,0.0669
Q9P1F3,client,0.84789497,0.4957791,0.0027
P09110,client,0.046695653,0.05571617,0.0171
Q6JQN1,client,0.7884555,0.07954485,0.1281
Q15027,client,0.10231964,0.8596165,0.7491
Q5T8D3,client,0.85924256,0.661285,0.1348
Q16570,client,0.00036157417,0.00095059635,0.0633
P53396,client,0.458234,0.12885702,0.6946
Q99798,client,0.05954622,0.154591,0.3828
Q9NPJ3,client,0.14434694,0.901961,0.0136
O14734,client,0.19710599,0.43938947,0.0134
P24666,client,0.0044062184,0.04318358,0.0033
O95573,client,0.26556996,0.21200499,0.344
O60488,client,0.67220753,0.4402645,0.1705
Q9UKU0,client,0.8090862,0.035958968,0.0382
P60709,client,0.99519944,0.9921165,0.0145
Q562R1,client,0.9936287,0.96445227,0.0223
P68032,client,0.98902905,0.9988606,0.0135
P63261,client,0.9936673,0.99217635,0.0134
P63267,client,0.9984206,0.9995161,0.0121
O96019,client,0.2429802,0.71540594,0.016
O94805,client,0.19880219,0.81822354,0.0084
P12814,client,0.34574482,0.10105431,0.2382
P35609,client,0.3885235,0.2935707,0.1798
O43707,client,0.35245633,0.11772349,0.6889
P61163,client,0.91359246,0.9991634,0.0027
P42025,client,0.9468146,0.9744266,0.0026
P61158,client,0.28282094,0.77965605,0.0058
P14621,client,0.05016811,0.0057236003,0.0504
Q9P0K1,client,0.044894908,0.012766793,0.3807
O75077,client,0.010549072,0.008755522,0.9888
P55265,client,0.7991783,0.5041012,0.1516
P78563,client,0.29619184,0.14254025,0.9905
Q9NS39,client,0.30920306,0.11772143,0.8123
P35611,client,0.9334584,0.8896209,0.8535
P35612,client,0.95760345,0.9244172,0.8041
Q9UEY8,client,0.9033622,0.8982024,0.9386
O14514,client,0.013476634,0.0060177892,0.6921
O94910,client,0.09655105,0.0076288306,0.5197
Q9HAR2,client,0.037287533,0.0014285286,0.8339
Q16186,client,0.30644053,0.6456065,0.9798
Q6ZN18,client,0.07732887,0.9248557,0.9959
Q8WTP8,client,0.47091746,0.18210337,0.2852
P55196,client,0.88541806,0.89084196,0.9225
Q9Y4W6,client,0.5708553,0.82109845,0.551
Q9UPQ3,client,0.97276646,0.5598708,0.9442
Q99490,client,0.16725124,0.20270713,0.9713
Q96P47,client,0.08771429,0.53936446,0.9948
Q53H12,client,0.007399213,0.060360353,0.025
Q9H9G7,client,0.54365414,0.88815546,0.2306
Q9HCK5,client,0.89608073,0.7624186,0.4912
Q9NUQ2,client,0.03360531,0.0062578013,0.0038
Q8WYP5,client,0.9694046,0.78266585,0.4466
P23526,client,0.549362,0.8606593,0.0294
O43865,client,0.9354103,0.9210768,0.07
Q8N157,client,0.9828326,0.80293244,0.3667
Q09666,client,0.99825245,0.99998724,0.9407
O95433,client,0.36640903,0.2735897,0.0155
Q96NN9,client,0.19673659,0.3401918,0.0484
Q13155,client,0.2598212,0.24058637,0.0096
O00170,client,0.37550384,0.38396424,0.0058
Q96IF1,client,0.7041325,0.9140995,0.8066
P00568,client,0.5186137,0.75877357,0.031
P54819,client,0.12014621,0.68479735,0.0738
Q9UIJ7,client,0.25097215,0.12178918,0.0032
P27144,client,0.09016528,0.9661981,0.0155
Q9Y6K8,client,0.103807814,0.30471444,0.2512
Q9UKA4,client,0.41233897,0.18649411,0.6284
Q02952,client,0.8867323,0.99005777,0.9767
Q12802,client,0.93226165,0.82055694,0.7561
Q02040,client,0.99304914,0.73220235,0.813
Q9Y2D5,client,0.55780166,0.7404248,0.9408
Q9ULX6,client,0.9428373,0.9649729,0.9041
Q99996,client,0.9580307,0.9878271,0.7971
Q53H80,client,0.18717314,0.49013743,0.0757
P14550,client,0.49317387,0.4068775,0.0115
P15121,client,0.18646355,0.9002427,0.0571
O60218,client,0.7449135,0.9846458,0.0044
C9JRZ8,client,0.43709266,0.84099185,0.0147
Q04828,client,0.0037595283,0.23692767,0.0119
P52895,client,0.0070449603,0.37343433,0.0099
P42330,client,0.43581656,0.069744885,0.0141
P17516,client,0.12140513,0.9900968,0.0196
P51857,client,0.5161024,0.6982935,0.017
Q96JD6,client,0.4134599,0.48123446,0.0088
O43488,client,0.058760967,0.12837975,0.0938
P02768,client,0.038252145,0.030802455,0.027
Q8IZ83,client,0.26395655,0.04807299,0.4345
P54886,client,0.26555172,0.036366224,0.4568
P00352,client,0.38334066,0.059858903,0.0092
O94788,client,0.62238264,0.94331396,0.0072
P47895,client,0.79980075,0.024135986,0.0399
P30837,client,0.8054992,0.28687957,0.0198
O75891,client,0.05794893,0.8127179,0.1284
P05091,client,0.6601399,0.7272373,0.0059
P51648,client,0.27835774,0.31849766,0.0038
P30038,client,0.67511797,0.17718701,0.0108
P51649,client,0.010740714,0.08421737,0.0119
Q02252,client,0.57247645,0.20201416,0.0235
P49419,client,0.012208179,0.056068577,0.0294
P09972,client,0.39748546,0.364761,0.0045
Q9NP73,client,0.9430348,0.8589999,0.9848
Q8TCU4,client,0.657787,0.72708046,0.9269
Q96Q42,client,0.97704667,0.21861365,0.2704
Q86V81,client,0.9914454,0.9987978,0.9924
Q8N7J2,client,0.783373,0.7754829,0.9912
Q01433,client,0.5126046,0.19976291,0.1763
P49418,client,0.98927516,0.6493697,0.9714
Q9H1A4,client,0.13468638,0.1029159,0.136
Q9UM13,client,0.6258321,0.32736126,0.0141
P03950,client,0.0002330794,0.0014826702,0.014
P16157,client,0.5669262,0.5253251,0.2075
Q01484,client,0.57428133,0.8509568,0.9569
Q12955,client,0.83196115,0.22316372,0.9755
Q9P2R3,client,0.0037542116,0.00057453476,0.233
Q8IWZ3,client,0.6263098,0.85715806,0.9558
O75179,client,0.88571954,0.93426913,0.9552
Q8TF21,client,0.03545852,0.038356993,0.8722
Q9UPS8,client,0.74820143,0.5664112,0.5001
Q9BXX2,client,0.8563657,0.6447069,0.1662
Q6NXT1,client,0.013365332,0.020755589,0.022
Q7Z6G8,client,0.17749554,0.17496134,0.966
Q9NQW6,client,0.80819935,0.4359287,0.8489
Q9BTT0,client,0.5592234,0.019805217,0.6786
P04083,client,0.009722593,0.0017083806,0.0103
Q9UJ72,client,0.07490852,0.6424016,0.0091
P50995,client,0.4604873,0.30001205,0.8337
P09525,client,0.016789503,0.014316842,0.0172
P08758,client,0.051171195,0.467572,0.0053
P08133,client,0.0972054,0.3448942,0.3097
P20073,client,0.60740465,0.923991,0.6774
Q10567,client,0.009770728,0.009745203,0.0692
Q9BXS5,client,0.17499755,0.11418362,0.0826
O95782,client,0.38357082,0.039388347,0.425
O94973,client,0.16983241,0.06540518,0.147
P63010,client,0.036205042,0.018717542,0.144
Q96CW1,client,0.15512164,0.24206091,0.1192
O00203,client,0.7539861,0.14031231,0.4054
Q13367,client,0.46801674,0.056505695,0.8652
O14617,client,0.677265,0.3426219,0.3897
P53677,client,0.1789693,0.29126438,0.0087
Q92572,client,0.037378345,0.37096345,0.017
P59780,client,0.27837324,0.7447527,0.0055
P25054,client,0.9896003,0.8413277,0.9286
P27695,client,0.40476817,0.23974548,0.028
Q9BZZ5,client,0.597908,0.630979,0.267
P02647,client,0.07583833,0.48749056,0.0045
Q8IUX4,client,0.7284615,0.07008813,0.0191
Q9HC16,client,0.6817283,0.69592667,0.0446
P05090,client,0.0038151229,0.015056214,0.005
Q9BPW4,client,0.0052999943,0.0022815382,0.0304
Q6UXV4,client,0.0058865827,0.2798057,0.3025
Q9UKG1,client,0.81016064,0.3849773,0.6657
Q8NEU8,client,0.2727564,0.29760373,0.1432
Q8NBQ7,client,0.0033582025,0.008029225,0.0445
P55087,client,0.01026244,0.0018185655,0.081
O60306,client,0.45162934,0.9030102,0.0844
P84077,client,0.01902559,0.9943083,0.0018
P61204,client,0.0032681904,0.9998987,0.002
P84085,client,0.6829218,0.9937496,0.0027
Q8N6H7,client,0.8542625,0.4451015,0.9821
P05089,client,0.39332822,0.6584558,0.0078
Q07960,client,0.669911,0.2105042,0.2035
Q5T5U3,client,0.62639683,0.82714677,0.9169
Q9UNA1,client,0.4916369,0.051293764,0.4739
Q9NRY4,client,0.7652612,0.799616,0.1368
Q9C0H5,client,0.6867279,0.20515193,0.8773
Q17R89,client,0.6876666,0.69207615,0.8978
O15013,client,0.40528297,0.08508175,0.2859
Q92974,client,0.79061496,0.31870914,0.8075
Q14155,client,0.91366524,0.80953103,0.876
P36404,client,0.9970733,0.9755667,0.0034
P36405,client,0.80872387,0.99742895,0.0108
Q66PJ3,client,0.8651098,0.41448694,0.9979
Q96BM9,client,0.9241519,0.88134533,0.0057
Q9NVJ2,client,0.9185393,0.94612604,0.0029
Q6NXE6,client,0.03364969,0.13583495,0.0173
Q92747,client,0.9611618,0.9955173,0.0789
O15143,client,0.9886114,0.9775123,0.0673
O15144,client,0.051098347,0.035885736,0.0105
O15145,client,0.12976952,0.5271124,0.1197
P59998,client,0.039871026,0.032007664,0.0024
P49407,client,0.34897554,0.83651406,0.0418
P32121,client,0.19275543,0.827923,0.07
Q8N9N2,client,0.5909398,0.12766083,0.3329
Q8N3C0,client,0.8575525,0.4257702,0.0446
Q8IZT6,client,0.96351045,0.48175794,0.5935
Q8NBU5,client,0.25071722,0.85548425,0.0133
Q6PL18,client,0.9233714,0.94259846,0.4066
Q9NVI7,client,0.7518222,0.30258358,0.1732
Q5T9A4,client,0.7378529,0.7795114,0.2384
Q5T2N8,client,0.77759266,0.43383476,0.0997
Q5SQI0,client,0.11742051,0.9637335,0.9606
P18848,client,0.8954505,0.92842823,0.3866
P31939,client,0.09192477,0.09463141,0.0546
Q8WXF7,client,0.7095515,0.44930586,0.0062
Q8NHH9,client,0.27449906,0.15695715,0.0064
Q13315,client,0.40673304,0.20401111,0.1292
O43313,client,0.58491266,0.65559155,0.9871
P54707,client,0.010778557,0.23971033,0.1908
Q9HD20,client,0.095718466,0.08388657,0.1278
P50993,client,0.10928843,0.6611484,0.1679
P13637,client,0.108519204,0.12787507,0.3948
Q13733,client,0.053297926,0.12857619,0.1555
P05026,client,0.13977876,0.010212996,0.0207
P14415,client,0.0033354007,0.0036748685,0.0088
P16615,client,0.013590989,0.07020095,0.18
P20020,client,0.359269,0.72556204,0.1827
Q01814,client,0.22809383,0.6262943,0.2464
Q16720,client,0.40970543,0.77778155,0.2142
P23634,client,0.35260913,0.61702675,0.1197
P20648,client,0.14016214,0.13989137,0.0477
P25705,client,0.40589473,0.19966139,0.1358
P06576,client,0.09990687,0.3083173,0.0097
P36542,client,0.21179035,0.018926632,0.0359
P30049,client,0.013184812,0.03776034,0.0041
Q9UII2,client,0.8714745,0.21849146,0.0152
Q96IX5,client,0.33715382,0.116738684,0.0197
P56385,client,0.039248563,0.18619207,0.015
O75964,client,0.006956189,0.025748014,0.0086
P24539,client,0.06437001,0.30999926,0.0024
O75947,client,0.3539138,0.5007629,0.0298
P61421,client,0.17061517,0.1689483,0.0151
P21283,client,0.0375707,0.10265353,0.009
Q9Y5K8,client,0.23331666,0.5509208,0.0035
O75348,client,0.51732594,0.4063939,0.0451
O95670,client,0.43562508,0.53354377,0.4017
Q96LB4,client,0.6222474,0.08770098,0.0204
Q9UI12,client,0.15822777,0.40758067,0.0168
Q9Y2Q0,client,0.0002081695,0.001659139,0.2321
Q9NTI2,client,0.033575244,0.07239576,0.2816
Q8WXE1,client,0.21749833,0.3022271,0.7431
P46100,client,0.99330175,0.9961743,0.9671
Q9UBB4,client,0.08633244,0.052685715,0.0053
Q13825,client,0.017948996,0.07290143,0.0982
O14965,client,0.89678156,0.31128874,0.0645
Q96GD4,client,0.9707916,0.08714443,0.0131
Q9UQB9,client,0.9681741,0.128771,0.0092
O75366,client,0.9012756,0.082544796,0.4492
Q9Y2T1,client,0.3382284,0.22739603,0.9311
P25311,client,0.1695412,0.825387,0.0198
O14977,client,0.046626735,0.15314065,0.0267
O94766,client,0.005143685,0.30520245,0.0241
O95429,client,0.95217115,0.94648945,0.985
Q9UL15,client,0.6681723,0.38552558,0.015
Q9UQB8,client,0.6738641,0.67798704,0.6969
O75531,client,0.049425878,0.66021746,0.0135
Q99728,client,0.16257639,0.19103342,0.9805
P80723,client,0.94076747,0.99982125,0.9913
Q9UIG0,client,0.8470056,0.7689341,0.7312
Q9BXH1,client,0.02315822,0.027631227,0.4783
Q8NFJ9,client,0.22395705,0.1456348,0.0145
Q96RK4,client,0.32815087,0.6553599,0.1727
Q8N3I7,client,0.039956883,0.06426845,0.0419
Q8IWZ6,client,0.029705558,0.27384531,0.3296
Q96GW7,client,0.03445328,0.0076103224,0.6124
O75363,client,0.91635925,0.92984164,0.9491
O75934,client,0.31453535,0.69762796,0.0035
Q9P287,client,0.48315153,0.1799205,0.7139
O14874,client,0.11137171,0.54136217,0.0169
P10415,client,0.13108897,0.42920488,0.0233
Q9NYF8,client,0.9982333,0.98602784,0.9979
Q6W2J9,client,0.0949238,0.053082496,0.8889
Q5H9F3,client,0.0032185717,0.0014942809,0.8666
P11274,client,0.65242124,0.38055938,0.3878
Q9Y276,client,0.37027904,0.67703986,0.0121
Q9BUH8,client,0.48476967,0.007459139,0.9615
Q9H694,client,0.344932,0.8662719,0.9919
O00499,client,0.8910932,0.04169461,0.8627
O15392,client,0.3496324,0.12510264,0.0073
Q6QNY1,client,0.696069,0.7674986,0.0047
P30043,client,0.38178685,0.4964354,0.0314
P15056,client,0.9442838,0.71315724,0.9661
Q6PJG6,client,0.06990977,0.1362824,0.3048
P51587,client,0.8092903,0.33222702,0.666
Q9NPI1,client,0.8230791,0.27924618,0.9518
Q92994,client,0.1503326,0.4557585,0.6142
Q8TDC3,client,0.72528994,0.2406228,0.7959
P35613,client,0.58954984,0.113335565,0.8866
Q9UPA5,client,0.945772,0.98149246,0.9658
A6NE02,client,3.9392293e-05,0.027672293,0.0219
P20290,client,0.46006012,0.48820317,0.5645
Q14201,client,0.42451665,0.59630543,0.0584
O43684,client,0.9989299,0.9870451,0.0124
Q9BRD0,client,0.96070224,0.85053384,0.9768
O43709,client,0.46888986,0.62378305,0.0748
Q7L1Q6,client,0.40131107,0.11920277,0.0168
Q9Y6E2,client,0.6118407,0.56413555,0.0102
Q8NEP4,client,0.65177137,0.52285355,0.9913
Q9UNZ5,client,0.9219258,0.9694769,0.8015
Q8NDD1,client,0.6294738,0.38697186,0.8533
Q9H425,client,0.4390606,0.19855472,0.4455
Q07021,client,0.02418651,0.05514725,0.332
P02747,client,0.032423776,0.878534,0.1367
Q9GZN8,client,0.11707642,0.2968745,0.0185
Q4AC94,client,0.6891303,0.033629853,0.6496
Q8TF44,client,0.14605549,0.095372915,0.5688
Q86YS7,client,0.41321468,0.21148168,0.0605
Q9NWW7,client,0.23342566,0.076889835,0.1809
A6NCS6,client,0.00146664,0.03431905,0.3707
P01024,client,0.016364893,0.035523437,0.2165
Q96BT1,client,0.1566204,0.87720984,0.4988
Q9BRJ6,client,0.47967297,0.32457116,0.2825
Q8N0T1,client,0.79124075,0.18125239,0.0045
P00915,client,0.73901474,0.9226753,0.3368
P00918,client,0.8057549,0.9657389,0.1476
P22748,client,0.054351103,0.10328598,0.05
P54289,client,0.04081272,0.040143177,0.0364
Q9NY47,client,0.08804841,0.029448535,0.2506
Q02641,client,0.989677,0.9774456,0.9748
P54284,client,0.9691538,0.95342565,0.6231
O00305,client,0.98378927,0.9740684,0.8852
Q9HB71,client,0.014402142,0.70457006,0.0545
P27708,client,0.07031756,0.089197665,0.111
Q9ULU8,client,0.41383186,0.47497037,0.5982
Q9P1Z2,client,0.43716863,0.06671066,0.0808
Q9NZT1,client,0.08350852,0.0017247177,0.0082
P27797,client,0.7082183,0.97356296,0.2613
Q96L12,client,0.8130586,0.106617376,0.0128
Q9UQM7,client,0.023848085,0.01234169,0.0419
Q13554,client,0.03547162,0.0023470796,0.9582
Q13557,client,0.03935018,0.01238276,0.2097
Q8N5S9,client,0.7384668,0.29099607,0.2442
Q96RR4,client,0.7509206,0.5508399,0.6141
Q8NCB2,client,0.3389413,0.02273197,0.6509
Q5T5Y3,client,0.56063586,0.43314752,0.883
Q9P1Y5,client,0.5135141,0.4925419,0.6521
Q86VP6,client,0.037016798,0.08907374,0.0689
O75155,client,0.14769194,0.3095581,0.179
Q01518,client,0.3061442,0.017745746,0.4113
P40123,client,0.086758554,0.16608186,0.3394
P40121,client,0.18021184,0.44589636,0.0222
P07384,client,0.111849986,0.4425004,0.0758
O15484,client,0.6044696,0.024136407,0.3211
P04632,client,0.029697279,0.1960358,0.4706
P52907,client,0.20115043,0.26419535,0.0079
P47755,client,0.70936936,0.4599958,0.0029
Q9Y2V2,client,0.9144427,0.2185086,0.2208
Q86X55,client,0.50250745,0.3564872,0.9273
O14936,client,0.91614383,0.08447046,0.3231
Q8WXD9,client,0.30115718,0.3911594,0.9568
P42574,client,0.027866231,0.020557174,0.0318
Q13951,client,0.87464434,0.8753438,0.005
P16152,client,0.5636779,0.15253049,0.0055
O75828,client,0.36094582,0.31112838,0.005
Q8N4T8,client,0.038366426,0.06365332,0.0024
Q13185,client,0.96422434,0.97857934,0.034
O00257,client,0.9808733,0.9919308,0.9835
Q9Y3M2,client,0.7993682,0.98135287,0.0174
Q6P1N0,client,0.38509277,0.6624859,0.9706
Q8IX12,client,0.93246967,0.8680772,0.7899
Q9BWC9,client,0.6073238,0.92929447,0.4249
Q8TBZ0,client,0.7405768,0.5199904,0.3172
Q8IYX3,client,0.6762225,0.7208215,0.9552
Q96CT7,client,0.90517825,0.96891934,0.012
Q96BQ5,client,0.25173554,0.04683542,0.0267
Q6PK04,client,0.41175354,0.7451523,0.9245
Q96MF4,client,0.8451923,0.73907965,0.8377
Q8N715,client,0.45707354,0.4229826,0.7945
O60826,client,0.49841654,0.06352246,0.0483
Q96HJ3,client,0.5395158,0.25589973,0.8385
Q8IYA8,client,0.462363,0.78359926,0.9787
Q9P031,client,0.54928106,0.30211213,0.3916
Q9BR77,client,0.66774255,0.34347123,0.0747
Q15834,client,0.13773794,0.6408504,0.0779
A6NKD9,client,0.40950343,0.2838466,0.938
Q9H6F5,client,0.80119926,0.8766489,0.9714
Q3V6T2,client,0.9422913,0.68906146,0.2917
Q567U6,client,0.55459845,0.21538317,0.0242
Q6ZUT6,client,0.33623964,0.36774656,0.941
Q8TD31,client,0.7156791,0.939903,0.7164
P78396,client,0.17179888,0.04215331,0.032
P20248,client,0.25843132,0.013603485,0.219
P14635,client,0.3494101,0.5002029,0.0367
O96020,client,0.83279556,0.20692195,0.0623
P41002,client,0.1461803,0.033769537,0.8196
Q16589,client,0.15878104,0.009606394,0.138
Q9UK58,client,0.9679712,0.96184564,0.9844
Q8ND76,client,0.35496512,0.40065077,0.021
O43303,client,0.94971496,0.29961473,0.8193
P51679,client,0.12875341,0.0007168217,0.0107
Q6IQ19,client,0.24650708,0.7790976,0.6315
P78371,client,0.09888486,0.0050172275,0.0062
P49368,client,0.06397511,0.08661257,0.056
P50991,client,0.03357263,0.09232551,0.1655
P48643,client,0.5463669,0.062907785,0.3812
P40227,client,0.07204681,0.06849563,0.2534
Q92526,client,0.05792805,0.17553459,0.2074
Q99832,client,0.89201176,0.48487142,0.0289
P50990,client,0.08843003,0.70765007,0.0581
Q96SF2,client,0.120725885,0.10562496,0.0095
O15446,client,0.9145381,0.9182592,0.9742
P13987,client,0.024511471,0.0004330032,0.0375
P60033,client,0.012071464,0.0001057193,0.1058
P21926,client,6.886458e-05,0.0006618828,0.3468
Q9UNH5,client,0.6494585,0.12785274,0.9846
O60729,client,0.23640895,0.47499833,0.5208
Q13042,client,0.4470986,0.025049545,0.0134
Q12834,client,0.7502002,0.9814734,0.5317
P30305,client,0.26806507,0.3762584,0.8449
P30307,client,0.40733647,0.4779214,0.1196
P30260,client,0.086704165,0.33061928,0.7906
Q16543,client,0.5343278,0.09142876,0.0207
P60953,client,0.23566061,0.9007652,0.0076
Q5VT25,client,0.94170827,0.30524752,0.3034
Q9Y5S2,client,0.80512565,0.43556467,0.4097
Q9H3Q1,client,0.2572825,0.92261255,0.9535
Q99459,client,0.8627692,0.35212055,0.2615
Q9BXL8,client,0.08227282,0.4245582,0.0522
Q96GN5,client,0.42146748,0.87061656,0.0663
Q53HL2,client,0.5253527,0.23893568,0.1124
Q9Y6N8,client,0.0071667437,0.9673323,0.2594
P55290,client,0.0050772857,0.6356486,0.8749
P19022,client,0.20309542,0.7115075,0.222
P55283,client,0.07190789,0.087860726,0.4951
P21127,client,0.8672162,0.53339934,0.2718
Q14004,client,0.9781383,0.43178073,0.9893
